country,region_name,nuts_code,year_week,rate_14_day_per_100k,source
Austria,Burgenland,AT11,2020-13,,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-14,57.3978725427597,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-15,31.9254438995232,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-16,23.7742667336875,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-17,15.9627219497616,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-18,8.49080954774552,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-19,4.07558858291785,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-20,2.03779429145893,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-21,2.71705905527857,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-22,2.03779429145893,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-23,0.679264763819642,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-24,0,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-25,1.01889714572946,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-26,3.39632381909821,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-27,5.77375049246695,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-28,6.11338287437677,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-29,8.49080954774552,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-30,11.2078686030241,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-31,11.8871333668437,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-32,9.17007431156516,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-33,6.4530152562866,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-34,12.9060305125732,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-35,21.3968400603187,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-36,28.8687524623348,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-37,34.9821353367115,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-38,44.4918420301865,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-39,63.8508877990463,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-40,82.1910364221766,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-41,109.021994593053,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-42,147.060821366952,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-43,228.572593025309,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-44,512.50526430192,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-45,853.83580812129,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-46,946.89508076458,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-47,820.891467076037,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-48,610.659022673858,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-49,462.579304161176,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-50,356.274368623402,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-51,265.25289027157,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-52,232.987813990137,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-53,254.384654050456,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-01,282.234509367061,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-02,252.007227377087,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-03,217.025092040376,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-04,194.609354834327,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-05,187.816707196131,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-06,206.836120583081,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-07,252.686492140907,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-08,327.065983779157,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-09,401.105843035498,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-10,463.598201306905,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-11,493.48585091497,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-12,539.336222472796,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-13,511.8259995381,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-14,401.105843035498,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-15,306.008776100749,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-16,235.365240663506,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-17,195.628251980057,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-18,136.192585145838,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-19,83.8891983317257,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-20,60.1149315980383,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-21,49.5863277588338,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-22,31.5858115176133,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-23,21.0572076784089,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-24,22.4157372060482,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-25,22.755369587958,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-26,20.3779429145893,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-27,17.3212514774009,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-28,16.3023543316714,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-29,20.3779429145893,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-30,33.2839734271624,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-31,37.3595620100803,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-32,54.3411811055713,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-33,91.7007431156516,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-34,119.890230814167,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-13,,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-14,85.4961179418947,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-15,53.3163291054316,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-16,30.8735981456842,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-17,11.8150885211368,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-18,7.59965492816842,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-19,6.23409193326316,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-20,6.70907036627368,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-21,6.53095345389473,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-22,4.45292280947368,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-23,2.55300907743158,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-24,3.14673211869474,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-25,4.27480589709474,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-26,4.92790124248421,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-27,4.45292280947368,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-28,4.21543359296842,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-29,9.44019635608421,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-30,13.8337468614316,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-31,12.7650453871579,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-32,10.9838762633684,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-33,13.5962576449263,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-34,19.3553711451789,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-35,23.8676662587789,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-36,30.1017581920421,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-37,49.0415232083368,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-38,83.1805980809684,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-39,99.2704924992,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-40,99.6860986280842,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-41,120.407032768168,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-42,150.390046351958,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-43,238.142311850653,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-44,434.545893900505,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-45,663.722987828084,"Epidemic intelligence, subnational weekly data"
